date,CO,NO,NO2,PM2.5,NOX,PM10,SO2,WSR,WDR,Zona
2024-07-03 16:00:00,0.73,3.5,4.8,18.85,8.3,43.0,2.2,16.3,116.0,SURESTE
2024-07-03 17:00:00,0.45,3.3,6.8,13.87,10.4,43.0,2.4,13.0,99.0,CENTRO
2024-07-03 17:00:00,0.22,2.8,5.1,,7.8,33.0,2.4,14.9,148.0,NORTE
2024-07-03 17:00:00,0.7,3.5,4.8,26.78,8.3,32.0,2.0,15.8,124.0,SURESTE
2024-07-03 18:00:00,0.43,3.1,7.8,11.53,11.2,38.0,2.5,13.2,101.0,CENTRO
2024-07-03 18:00:00,0.24,2.4,4.9,,7.4,29.0,2.3,12.8,151.0,NORTE
2024-07-03 18:00:00,0.69,3.2,5.0,26.85,,28.0,2.2,15.3,136.0,SURESTE
2024-07-03 19:00:00,0.41,2.5,9.1,10.72,11.9,39.0,2.4,15.2,109.0,CENTRO
2024-07-03 19:00:00,0.29,2.3,8.0,12.0,10.3,30.0,2.2,17.3,130.0,NORTE
2024-07-03 19:00:00,0.7,3.1,6.5,22.69,9.6,27.0,2.2,14.8,140.0,SURESTE
2024-07-03 20:00:00,0.42,2.0,6.3,10.94,8.5,34.0,2.5,14.1,126.0,CENTRO
2024-07-03 20:00:00,0.28,2.2,7.0,13.0,9.2,43.0,2.2,16.3,133.0,NORTE
2024-07-03 20:00:00,0.69,2.6,6.6,22.71,9.1,29.0,2.2,12.2,130.0,SURESTE
2024-07-03 21:00:00,0.45,2.2,9.3,13.24,11.8,42.0,2.4,11.8,119.0,CENTRO
2024-07-03 21:00:00,0.26,2.1,5.6,13.0,7.8,36.0,2.1,12.8,126.0,NORTE
2024-07-03 21:00:00,0.76,3.0,8.3,20.43,11.2,21.0,2.1,16.0,110.0,SURESTE
2024-07-03 22:00:00,0.42,2.1,6.9,17.99,9.2,43.0,2.4,13.7,73.0,CENTRO
2024-07-03 22:00:00,0.26,2.1,5.6,21.0,7.8,32.0,2.3,12.5,116.0,NORTE
2024-07-03 22:00:00,0.69,2.7,4.3,20.43,7.1,36.0,2.2,16.4,123.0,SURESTE
2024-07-03 23:00:00,0.41,2.0,6.5,21.06,8.7,46.0,2.4,10.5,82.0,CENTRO
2024-07-03 23:00:00,0.27,,6.1,14.0,8.2,58.0,2.4,9.5,119.0,NORTE
2024-07-03 23:00:00,0.68,2.3,3.8,11.23,6.1,35.0,2.1,18.2,97.0,SURESTE
2024-07-04 00:00:00,0.4,1.8,6.0,20.75,8.0,39.0,2.4,7.9,78.0,CENTRO
2024-07-04 00:00:00,0.24,1.8,5.2,12.0,7.0,52.0,2.2,8.5,118.0,NORTE
2024-07-04 00:00:00,0.65,2.1,2.7,13.46,4.7,32.0,2.0,20.8,94.0,SURESTE
2024-07-04 01:00:00,0.44,2.0,7.0,23.69,9.2,49.0,2.3,7.6,37.0,CENTRO
2024-07-04 01:00:00,0.22,1.8,5.3,11.0,7.1,45.0,2.2,9.3,98.0,NORTE
2024-07-04 01:00:00,0.65,1.9,2.7,12.75,4.6,31.0,2.0,15.0,107.0,SURESTE
2024-07-04 02:00:00,0.39,2.1,7.1,24.55,9.4,47.0,2.4,7.4,40.0,CENTRO
2024-07-04 02:00:00,0.22,2.2,7.8,12.0,10.0,28.0,2.3,7.3,74.0,NORTE
2024-07-04 02:00:00,0.64,1.9,2.7,12.37,4.6,23.0,1.9,12.0,114.0,SURESTE
