date_only,Hora,Zona,CO,NOX,O3,PM2.5,PM10,WSR,WDR,date,hour,influence_plume_sum,influence_plume_log1p_sum,Q_hat_mean,u_mean,wind_cov,influence_plume_z
2024-08-01,23,NORTE,1.0247304,10.870668,13.0,18.38338,69.0,12.6,125.0,2024-08-01,23,2238.813110518193,1749.6527941383856,8.986725868567902,12.6,1.0,-0.582091648990961
2024-08-01,23,SURESTE,0.7199999,10.5,17.000002,25.8,108.0,17.8,116.0,2024-08-01,23,1278.782952694083,1055.155783082134,8.619041003501675,17.8,1.0,-0.7525557983217348
2024-08-02,0,CENTRO,0.58000004,8.700001,19.0,33.36,99.0,5.7,89.0,2024-08-02,0,2814.0641170019844,1943.1160272048369,7.431984904766082,5.7,1.0,0.08655105133680116
2024-08-02,0,NORTE,0.9981202,10.6090145,13.0,17.397747,62.0,11.8,126.0,2024-08-02,0,2417.3566372786263,1863.9135039979064,9.060627122155331,11.800000000000002,1.0,-0.5353234430273179
2024-08-02,0,SURESTE,0.6599999,7.4000006,14.000001,21.0,81.0,16.699999,108.0,2024-08-02,0,1450.3599836507508,1187.9680345989448,8.685709517270274,16.699999,1.0,-0.6720717246532042
2024-08-02,1,CENTRO,0.59000003,18.7,10.000002,31.72,90.0,6.2,30.0,2024-08-02,1,2931.011463860722,2024.8545238017464,7.551157269040138,6.2,1.0,0.14807268581283584
2024-08-02,1,NORTE,0.99568933,10.911643,15.0,16.004932,45.0,7.6,134.0,2024-08-02,1,3810.2836878327385,2671.7013187053685,9.098849885340151,7.599999999999999,1.0,-0.1704561169771577
2024-08-02,1,SURESTE,0.66999996,7.6000004,13.000001,20.75,72.0,11.9,114.0,2024-08-02,1,1959.4650952351724,1505.6688777014201,8.725790752232882,11.9,1.0,-0.43325856255731515
2024-08-02,2,CENTRO,0.59000003,22.1,8.0,31.09,84.0,8.599999,26.0,2024-08-02,2,2191.8463237721567,1632.000718005655,7.701968732328092,8.599999,1.0,-0.24077450728240546
2024-08-02,2,NORTE,0.9540025,12.412745,8.0,15.001769,59.0,6.2000003,295.0,2024-08-02,2,3945.921984748247,2495.7956499948186,9.19110413412054,6.2000003,1.0,-0.13492663057234425
